id,name,hash,executed_at
33,backward-compatible-index-on-prefixes,b480e99ed951e0900f033ec4eb34b5bdcb4e3d49,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
34,optimize-search-function-v1,ca80a3dc7bfef894df17108785ce29a7fc8ee456,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
35,add-insert-trigger-prefixes,458fe0ffd07ec53f5e3ce9df51bfdf4861929ccc,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
36,optimise-existing-functions,6ae5fca6af5c55abe95369cd4f93985d1814ca8f,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
38,iceberg-catalog-flag-on-buckets,02716b81ceec9705aed84aa1501657095b32e5c5,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
39,add-search-v2-sort-support,6706c5f2928846abee18461279799ad12b279b78,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
40,fix-prefix-race-conditions-optimized,7ad69982ae2d372b21f48fc4829ae9752c518f6b,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
41,add-object-level-update-trigger,07fcf1a22165849b7a029deed059ffcde08d1ae0,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
42,rollback-prefix-triggers,771479077764adc09e2ea2043eb627503c034cd4,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
43,fix-object-level,84b35d6caca9d937478ad8a797491f38b8c2979f,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
48,iceberg-catalog-ids,e0e8b460c609b9999ccd0df9ad14294613eed939,Fri Jan 23 2026 20:14:46 GMT-0400 (Horário Padrão do Amazonas)
50,search-v2-optimised,6323ac4f850aa14e7387eb32102869578b5bd478,Sat Feb 14 2026 16:51:54 GMT-0400 (Horário Padrão do Amazonas)
51,index-backward-compatible-search,2ee395d433f76e38bcd3856debaf6e0e5b674011,Sat Feb 14 2026 16:51:54 GMT-0400 (Horário Padrão do Amazonas)
52,drop-not-used-indexes-and-functions,5cc44c8696749ac11dd0dc37f2a3802075f3a171,Sat Feb 14 2026 16:51:54 GMT-0400 (Horário Padrão do Amazonas)
53,drop-index-lower-name,d0cb18777d9e2a98ebe0bc5cc7a42e57ebe41854,Sat Feb 14 2026 16:51:54 GMT-0400 (Horário Padrão do Amazonas)
54,drop-index-object-level,6289e048b1472da17c31a7eba1ded625a6457e67,Sat Feb 14 2026 16:51:54 GMT-0400 (Horário Padrão do Amazonas)
55,prevent-direct-deletes,262a4798d5e0f2e7c8970232e03ce8be695d5819,Sat Feb 14 2026 16:51:54 GMT-0400 (Horário Padrão do Amazonas)
56,fix-optimized-search-function,cb58526ebc23048049fd5bf2fd148d18b04a2073,Sat Feb 14 2026 16:51:54 GMT-0400 (Horário Padrão do Amazonas)
