id,created_at,auth_user_id,profile_id,action,old_payload,new_payload
3caf2457-1709-4d85-9adc-0858d5d96a25,Mon Feb 16 2026 15:38:21 GMT-0400 (Horário Padrão do Amazonas),,5619cec5-8c87-44bd-bcda-0c619854223d,INSERT,,[object Object]
0eb2ed52-5217-4082-8cb8-4b68628e004e,Mon Feb 16 2026 15:38:22 GMT-0400 (Horário Padrão do Amazonas),,5619cec5-8c87-44bd-bcda-0c619854223d,UPDATE,[object Object],[object Object]
9e3ffa4d-0f11-4424-8874-0a11ec625369,Mon Feb 16 2026 15:39:28 GMT-0400 (Horário Padrão do Amazonas),,b7e2b6cd-6743-4a71-b7af-59880ab07270,INSERT,,[object Object]
194d5a61-1956-44fa-be5e-2ef44815d542,Mon Feb 16 2026 15:39:33 GMT-0400 (Horário Padrão do Amazonas),,a435ed50-848c-4b18-9515-e75576cc5c0b,INSERT,,[object Object]
72ca95cf-97df-420f-8447-d7c3fb54ba15,Mon Feb 16 2026 15:39:35 GMT-0400 (Horário Padrão do Amazonas),,a435ed50-848c-4b18-9515-e75576cc5c0b,UPDATE,[object Object],[object Object]
1ed06ebf-e088-48d2-8383-a8c961a58cea,Mon Feb 16 2026 15:43:49 GMT-0400 (Horário Padrão do Amazonas),,fdd98b47-acae-4b52-bd13-315910ef3c40,INSERT,,[object Object]
93bbd4ce-7d32-499d-a656-d76d570b271b,Mon Feb 16 2026 15:43:51 GMT-0400 (Horário Padrão do Amazonas),,3e382e26-074e-4c4a-a7c2-42f012eb721e,INSERT,,[object Object]
4d4b6567-419b-46aa-afce-9550f3b3044a,Mon Feb 16 2026 15:43:52 GMT-0400 (Horário Padrão do Amazonas),,3e382e26-074e-4c4a-a7c2-42f012eb721e,UPDATE,[object Object],[object Object]
237bd4aa-1743-44de-854d-821312a30ef3,Mon Feb 16 2026 15:45:00 GMT-0400 (Horário Padrão do Amazonas),,fba9f0c1-fbb6-464a-9d26-2fe04a00626c,INSERT,,[object Object]
bf4d6b3c-7e9e-41c5-a9b7-f52e8cb806ac,Mon Feb 16 2026 15:45:04 GMT-0400 (Horário Padrão do Amazonas),,342bfbe7-6394-4601-8927-2a90d6bdad9a,INSERT,,[object Object]
9a2c6e83-1079-4bd3-bd41-40ae1a49b47c,Mon Feb 16 2026 15:45:05 GMT-0400 (Horário Padrão do Amazonas),,342bfbe7-6394-4601-8927-2a90d6bdad9a,UPDATE,[object Object],[object Object]
373517b9-1385-4d98-9d74-c55d46731a0a,Mon Feb 16 2026 15:48:34 GMT-0400 (Horário Padrão do Amazonas),,3bfbf52d-9449-43da-a65b-de395eed3f18,INSERT,,[object Object]
20ea9ac2-5971-4fe3-bf43-ba438bc39927,Mon Feb 16 2026 15:48:34 GMT-0400 (Horário Padrão do Amazonas),,15041ac2-3b97-42f1-8bb1-948f78665c4b,INSERT,,[object Object]
efd031ef-1af9-4ca6-ac5f-4e4b4f22e71a,Mon Feb 16 2026 15:51:01 GMT-0400 (Horário Padrão do Amazonas),,fb795bc3-a6d0-4222-8e6f-6814c1a3dcb7,INSERT,,[object Object]
0695878f-9548-4eb2-8890-b252c80b36e2,Mon Feb 16 2026 15:51:01 GMT-0400 (Horário Padrão do Amazonas),,7095e991-51c1-49da-acbb-18fe3c4b57e6,INSERT,,[object Object]
0ac74664-3a02-4b7a-8177-ac20f6bcf2d2,Mon Feb 16 2026 15:52:17 GMT-0400 (Horário Padrão do Amazonas),,74461251-dd95-4bb1-856b-f68f64f26a7d,INSERT,,[object Object]
602d6bad-7e2a-4420-b978-3e50bd9b02d3,Mon Feb 16 2026 15:52:17 GMT-0400 (Horário Padrão do Amazonas),,af12623c-0049-426b-b5aa-ea0c1faebe78,INSERT,,[object Object]
b4b98b98-7d77-4d1f-8718-38725524abb8,Mon Feb 16 2026 15:53:26 GMT-0400 (Horário Padrão do Amazonas),,8bfcfcd8-fc35-4c19-92dc-30bf929da580,INSERT,,[object Object]
fe78c361-9b96-4898-a249-89198c8a4eb9,Mon Feb 16 2026 15:53:31 GMT-0400 (Horário Padrão do Amazonas),,3891e782-1ba9-4d79-a940-90b49cb1bc51,INSERT,,[object Object]
c4909caa-7c9a-4186-a926-092f004c5872,Mon Feb 16 2026 15:54:42 GMT-0400 (Horário Padrão do Amazonas),,b57aea55-e09a-4fb2-9ccb-dcf80276490b,INSERT,,[object Object]
fc9ac614-f6aa-4ac1-8fbe-5f4f3a2c6f96,Mon Feb 16 2026 15:54:46 GMT-0400 (Horário Padrão do Amazonas),,b079c492-16f4-4f5d-925a-3e4f52310b45,INSERT,,[object Object]
30d5430c-8227-4772-bc4a-3dd4ba626b92,Mon Feb 16 2026 15:55:57 GMT-0400 (Horário Padrão do Amazonas),,0bb077da-d63a-44c3-9079-c67b49fe8a74,INSERT,,[object Object]
eef70a9f-7110-4fba-b0d5-57b8ad57e5b3,Mon Feb 16 2026 15:55:57 GMT-0400 (Horário Padrão do Amazonas),,7837ec8c-03ce-4231-8e66-46e0ae414ff9,INSERT,,[object Object]
3b7c362d-bdd1-49b6-92bc-25e7892f31e8,Mon Feb 16 2026 15:56:02 GMT-0400 (Horário Padrão do Amazonas),,022b76ba-5be6-4f48-9813-4cf6ef018868,INSERT,,[object Object]
e29c539c-b261-4129-aed6-c7bb579a8d47,Mon Feb 16 2026 15:56:56 GMT-0400 (Horário Padrão do Amazonas),,342b3eee-bfae-4bb0-8093-7319af6ee626,INSERT,,[object Object]
43ec63b5-808d-4a01-857f-d5465b252b70,Mon Feb 16 2026 15:57:02 GMT-0400 (Horário Padrão do Amazonas),,158c50a2-2251-4f2b-8dc3-24eee3893baf,INSERT,,[object Object]
5b9276d5-13c3-4280-b0ca-67bd25a5bf3f,Mon Feb 16 2026 15:58:24 GMT-0400 (Horário Padrão do Amazonas),,d058a3ac-2aff-447a-8c4f-6d71966487d2,INSERT,,[object Object]
7997cc50-4d20-4e8b-8ffe-bde96419fecf,Mon Feb 16 2026 15:58:24 GMT-0400 (Horário Padrão do Amazonas),,689a6c44-6403-47a5-8dfd-9bb328f02161,INSERT,,[object Object]
46254f3c-d39d-40ab-8bf1-fd7b049ca8dd,Mon Feb 16 2026 16:01:19 GMT-0400 (Horário Padrão do Amazonas),,9dfb4341-253b-4b8d-b120-5d840c8f205a,INSERT,,[object Object]
ff5085cf-4cd2-4123-af47-2dda78be18d8,Mon Feb 16 2026 16:01:19 GMT-0400 (Horário Padrão do Amazonas),,d5be6b7c-642f-4150-b5ae-16412d2ef2d8,INSERT,,[object Object]
c0a895fc-d949-4eff-a54d-c2d63fd12439,Mon Feb 16 2026 16:02:24 GMT-0400 (Horário Padrão do Amazonas),,e0b60dd7-9f7b-4647-a8b4-1c582bf075b5,INSERT,,[object Object]
337a1c8a-b2d2-4e8e-9715-d6734f6c7c47,Mon Feb 16 2026 16:02:24 GMT-0400 (Horário Padrão do Amazonas),,6e507adc-e1f7-48fb-a10c-db825c794652,INSERT,,[object Object]
99ae931c-b49a-4deb-a357-509687b369c6,Mon Feb 16 2026 16:03:18 GMT-0400 (Horário Padrão do Amazonas),,da359fa5-3467-4d2e-b327-5b93560cba8d,INSERT,,[object Object]
1d9acbe2-d8f6-4e80-a999-d5f219111a3a,Mon Feb 16 2026 16:03:18 GMT-0400 (Horário Padrão do Amazonas),,80db919c-6578-4ae1-8850-7c02f6b9cd03,INSERT,,[object Object]
e57e4e91-a937-4760-9d6f-df26b98f677c,Mon Feb 16 2026 16:03:18 GMT-0400 (Horário Padrão do Amazonas),,2b506f04-a1c5-4793-8323-e078d8a30222,INSERT,,[object Object]
